Date,Buyer,Title
12/28/1722,"ballard, thomas",finche conversion
12/28/1722,"ballard, thomas",foreign war & peace
12/28/1722,"barker, benjamin",stillingfleet ecclesiastical cases
12/28/1722,"barker, benjamin",stillingfleet letters to locke
12/28/1722,"barker, benjamin",stillingfleet origines britannic
12/28/1722,"barker, benjamin",stillingfleet origines sacrae
12/28/1722,"barker, benjamin",stillingfleet pieces
12/28/1722,"barker, benjamin",stillingfleet rational account
12/28/1722,"barker, benjamin",stillingfleet sermons
12/28/1722,"barker, benjamin",stillingfleet trinity
12/28/1722,"birt, samuel",daily courant
12/28/1722,"brown, daniel i",stillingfleet ecclesiastical cases
12/28/1722,"brown, daniel i",stillingfleet letters to locke
12/28/1722,"brown, daniel i",stillingfleet origines britannic
12/28/1722,"brown, daniel i",stillingfleet origines sacrae
12/28/1722,"brown, daniel i",stillingfleet pieces
12/28/1722,"brown, daniel i",stillingfleet rational account
12/28/1722,"brown, daniel i",stillingfleet sermons
12/28/1722,"brown, daniel i",stillingfleet trinity
12/28/1722,"brown, daniel ii",stillingfleet ecclesiastical cases
12/28/1722,"brown, daniel ii",stillingfleet letters to locke
12/28/1722,"brown, daniel ii",stillingfleet origines britannic
12/28/1722,"brown, daniel ii",stillingfleet origines sacrae
12/28/1722,"brown, daniel ii",stillingfleet pieces
12/28/1722,"brown, daniel ii",stillingfleet rational account
12/28/1722,"brown, daniel ii",stillingfleet sermons
12/28/1722,"brown, daniel ii",stillingfleet trinity
12/28/1722,"clarke, john (poultry)",delphin horace
12/28/1722,"clay, francis",petty poltical essays
12/28/1722,"clay, francis",stillingfleet ecclesiastical cases
12/28/1722,"clay, francis",stillingfleet letters to locke
12/28/1722,"clay, francis",stillingfleet origines britannic
12/28/1722,"clay, francis",stillingfleet origines sacrae
12/28/1722,"clay, francis",stillingfleet pieces
12/28/1722,"clay, francis",stillingfleet rational account
12/28/1722,"clay, francis",stillingfleet sermons
12/28/1722,"clay, francis",stillingfleet trinity
12/28/1722,"cowse, benjamin",answer to nubius testium
12/28/1722,"cowse, benjamin",historical examination authority general councils
12/28/1722,"cowse, benjamin",history of councils
12/28/1722,"cowse, benjamin",letter to sabran
12/28/1722,"cowse, benjamin",veteres vindicatae
12/28/1722,"edlin, thomas",dictionary boyer
12/28/1722,"edlin, thomas",stillingfleet ecclesiastical cases
12/28/1722,"edlin, thomas",stillingfleet letters to locke
12/28/1722,"edlin, thomas",stillingfleet origines britannic
12/28/1722,"edlin, thomas",stillingfleet origines sacrae
12/28/1722,"edlin, thomas",stillingfleet pieces
12/28/1722,"edlin, thomas",stillingfleet rational account
12/28/1722,"edlin, thomas",stillingfleet sermons
12/28/1722,"edlin, thomas",stillingfleet trinity
12/28/1722,"king, charles",stillingfleet ecclesiastical cases
12/28/1722,"king, charles",stillingfleet letters to locke
12/28/1722,"king, charles",stillingfleet origines britannic
12/28/1722,"king, charles",stillingfleet origines sacrae
12/28/1722,"king, charles",stillingfleet pieces
12/28/1722,"king, charles",stillingfleet rational account
12/28/1722,"king, charles",stillingfleet sermons
12/28/1722,"king, charles",stillingfleet trinity
12/28/1722,"meadows, william",dictionary boyer
12/28/1722,"meadows, william",stillingfleet ecclesiastical cases
12/28/1722,"meadows, william",stillingfleet letters to locke
12/28/1722,"meadows, william",stillingfleet origines britannic
12/28/1722,"meadows, william",stillingfleet origines sacrae
12/28/1722,"meadows, william",stillingfleet pieces
12/28/1722,"meadows, william",stillingfleet rational account
12/28/1722,"meadows, william",stillingfleet sermons
12/28/1722,"meadows, william",stillingfleet trinity
12/28/1722,"senex, john",stillingfleet ecclesiastical cases
12/28/1722,"senex, john",stillingfleet letters to locke
12/28/1722,"senex, john",stillingfleet origines britannic
12/28/1722,"senex, john",stillingfleet origines sacrae
12/28/1722,"senex, john",stillingfleet pieces
12/28/1722,"senex, john",stillingfleet rational account
12/28/1722,"senex, john",stillingfleet sermons
12/28/1722,"senex, john",stillingfleet trinity
12/28/1722,"senex, john",thorington nottinghamshire
12/28/1722,"shuckburgh, john",cicero orations
12/28/1722,"shuckburgh, john",comber catechism
12/28/1722,"shuckburgh, john",comber epitome
12/28/1722,"shuckburgh, john",comber works
12/28/1722,"shuckburgh, john",defence of pluralities
12/28/1722,"shuckburgh, john",delphin justinius
12/28/1722,"shuckburgh, john",delphin juvenal
12/28/1722,"shuckburgh, john",dictionary boyer
12/28/1722,"shuckburgh, john",drelincourt death
12/28/1722,"shuckburgh, john",everard gauging
12/28/1722,"shuckburgh, john",everard irish gauging
12/28/1722,"shuckburgh, john",florus
12/28/1722,"shuckburgh, john",frauds of romish priests
12/28/1722,"shuckburgh, john",golden rule
12/28/1722,"shuckburgh, john",isham catechism
12/28/1722,"shuckburgh, john",isham forms of devotion
12/28/1722,"shuckburgh, john",isham office for sick
12/28/1722,"shuckburgh, john",lancashire witches
12/28/1722,"shuckburgh, john",leusden compendium
12/28/1722,"shuckburgh, john",rhetoric
12/28/1722,"shuckburgh, john",rules of civility
12/28/1722,"shuckburgh, john",state of ireland
12/28/1722,"shuckburgh, john",sufferings of clergy
12/28/1722,"shuckburgh, john",vindication of cyprianic age
12/28/1722,"ward, aaron",delphin horace
12/28/1722,"ward, aaron",florus
12/28/1722,"ward, thomas",stillingfleet ecclesiastical cases
12/28/1722,"ward, thomas",stillingfleet letters to locke
12/28/1722,"ward, thomas",stillingfleet origines britannic
12/28/1722,"ward, thomas",stillingfleet origines sacrae
12/28/1722,"ward, thomas",stillingfleet pieces
12/28/1722,"ward, thomas",stillingfleet rational account
12/28/1722,"ward, thomas",stillingfleet sermons
12/28/1722,"ward, thomas",stillingfleet trinity
12/28/1722,"ward, thomas",two law
12/28/1722,"woodward, thomas",dictionary boyer
12/29/1723,"brown, daniel i",brown fines
12/29/1723,"brown, daniel ii",brown fines
12/29/1723,"butler, thomas",gamesters law
12/29/1723,"butler, thomas",law of covenants
12/29/1723,"butler, thomas",phaedrus
12/29/1723,"butler, thomas",physicians receipts
12/29/1723,"butler, thomas",preservative against atheism
12/29/1723,"butler, thomas",spelling dyche
12/29/1723,"butler, thomas",treatise of frauds
12/29/1723,"harding, samuel",week exercise
12/29/1723,"harris, thomas",complete constable
12/29/1723,"hazard, joseph i",dorrington devotions
12/29/1723,"hazard, joseph i",vocabulary dyche
12/29/1723,"king, charles",fiddes sermon
12/29/1723,"mears, william",astry charge to grand juries
12/29/1723,"mears, william",complete conveyancer
12/29/1723,"mears, william",game law
12/29/1723,"norris, thomas",dictionary dyche
12/29/1723,"payne, thomas",defence of the church of england
12/29/1723,"payne, thomas",kettlewell works
12/29/1723,"payne, thomas",martindale survey
12/29/1723,"willford, john",croke reports
12/29/1723,"willford, john",septuagint
12/29/1723,"willford, john",spicilegium
12/29/1723,"wyatt, john",stillingfleet pieces
09/24/1725,"aylmer, brabazon",poole annotations
09/24/1725,"aylmer, brabazon",poole dialogues
09/24/1725,"darby, john",boyle against swearing
09/24/1725,"darby, john",conant sermons
09/24/1725,"darby, john",hopkins almost christian
09/24/1725,"darby, john",private witness to christianity
09/24/1725,"darby, john",william sermons
09/24/1725,"hett, richard",flavel catechism
09/24/1725,"hett, richard",flavel mental errors
09/24/1725,"hett, richard",flavel personal reformation
09/24/1725,"hett, richard",flavel remains
09/24/1725,"hett, richard",flavel scheme
09/24/1725,"hett, richard",love of christ
09/24/1725,"hett, richard",mourner companion
09/24/1725,"hett, richard",righteous man hope
09/24/1725,"knapton, james",geographical grammar
09/24/1725,"knapton, john",geographical grammar
09/24/1725,"norris, thomas",charnock discources
09/24/1725,"norris, thomas",charnock works
09/24/1725,"norris, thomas",conformity
09/24/1725,"norris, thomas",court of the gentiles
09/24/1725,"norris, thomas",morning exercises
09/24/1725,"norris, thomas",polhill theology
09/24/1725,"ward, aaron",delphin phaedri fabulae
09/24/1725,"ward, aaron",eutropius
09/24/1725,"ward, aaron",helvici colloquia
09/24/1725,"ward, aaron",medulla
09/24/1725,"ward, aaron",the school of manners
11/01/1725,"batley, jeremiah",english gardener
11/01/1725,"batley, jeremiah",markham masterpiece
11/01/1725,"brown, daniel i",tremaine entries
11/01/1725,"brown, daniel i",wellwood memoirs
11/01/1725,"brown, daniel ii",tremaine entries
11/01/1725,"brown, daniel ii",wellwood memoirs
11/01/1725,"clarke, john (dl and spc)",dugard lucian
11/01/1725,"clarke, john (dl and spc)",juvenal
11/01/1725,"clarke, john (dl and spc)",rhetoric
11/01/1725,"clarke, john (dl and spc)",skikara hebrew grammar
11/01/1725,"clarke, john (dl and spc)",tully orations
11/01/1725,"gosling, robert",ashby and white
11/01/1725,"gosling, robert",atkins defence of lord russel
11/01/1725,"gosling, robert",atkins enquiry into the dispensing power
11/01/1725,"gosling, robert",atkins further defence
11/01/1725,"gosling, robert",atkins jurisdiction of chancery
11/01/1725,"gosling, robert",atkins power of parliaments
11/01/1725,"gosling, robert",atkins speech
11/01/1725,"gosling, robert",border laws
11/01/1725,"gosling, robert",lex parliamentaria
11/01/1725,"harding, samuel",stanhope epistles
11/01/1725,"hazard, joseph i",stanhope kempis
11/01/1725,"hazard, joseph ii",stanhope kempis
11/01/1725,"hooke, john",clift entries
11/01/1725,"hooke, john",tremaine pleas of the crown
11/01/1725,"knapton, james",harris glossographia anglicana nova
11/01/1725,"knapton, james",stanhope epistles
11/01/1725,"knapton, james",stanhope kempis
11/01/1725,"knapton, john",harris glossographia anglicana nova
11/01/1725,"knapton, john",stanhope epistles
11/01/1725,"knapton, john",stanhope kempis
11/01/1725,"longman, thomas i",account of denmark
11/01/1725,"longman, thomas i",conduct of servants
11/01/1725,"longman, thomas i",count patkull life
11/01/1725,"longman, thomas i",divinity of our saviour
11/01/1725,"longman, thomas i",essay on fevers
11/01/1725,"longman, thomas i",franco-gallia
11/01/1725,"longman, thomas i",hollis memoirs
11/01/1725,"longman, thomas i",robinson account of sweden
11/01/1725,"mears, william",aesop lestrange
11/01/1725,"mears, william",bellamira
11/01/1725,"mears, william",dictionary bailey
11/01/1725,"mears, william",harris lexicon technicum
11/01/1725,"mears, william",william temple works
11/01/1725,"midwinter, edward",english gardener
11/01/1725,"midwinter, edward",markham masterpiece
11/01/1725,"motte, benjamin",harris lexicon technicum
11/01/1725,"motte, benjamin",history of rome
11/01/1725,"motte, benjamin",misna
11/01/1725,"motte, benjamin",state of great britain
11/01/1725,"motte, benjamin",state trials
11/01/1725,"motte, benjamin",wotton omniscience
11/01/1725,"motte, benjamin",wotton pieces
11/01/1725,"motte, benjamin",wotton reflections on learning
11/01/1725,"motte, benjamin",wotton rights of the clergy
11/01/1725,"osborn, john i (hd and pnr)",flavel vindicia legis federis
11/01/1725,"osborn, john i (hd and pnr)",polity
11/01/1725,"osborne, thomas i",law of executors
11/01/1725,"osborne, thomas i",law of mortgages
11/01/1725,"osborne, thomas i",state of great britain
11/01/1725,"osborne, thomas i",william temple works
11/01/1725,"osborne, thomas ii",law of executors
11/01/1725,"osborne, thomas ii",law of mortgages
11/01/1725,"osborne, thomas ii",state of great britain
11/01/1725,"osborne, thomas ii",william temple works
11/01/1725,"shuckburgh, john",british empire in america
11/01/1725,"shuckburgh, john",experiments on bezoar stones and sugar
11/01/1725,"ward, aaron",pharmacopoeia
11/01/1725,"ward, aaron",salmon dispensatory
11/01/1725,"woodward, thomas",coke reports
02/14/1726,"astley, thomas",book of homilies
02/14/1726,"astley, thomas",devout christian companion
02/14/1726,"astley, thomas",dictionarium rusticum
02/14/1726,"astley, thomas",diseases of tradesmen
02/14/1726,"astley, thomas",dupin canons
02/14/1726,"astley, thomas",nature and place of hell
02/14/1726,"astley, thomas",raleigh abridgement and continuation
02/14/1726,"astley, thomas",sick man visited
02/14/1726,"astley, thomas",spinckes against hoadly
02/14/1726,"astley, thomas",tales of the fairies
02/14/1726,"austen, stephen",beveridge articles
02/14/1726,"austen, stephen",history of rome
02/14/1726,"austen, stephen",misna
02/14/1726,"austen, stephen",wotton omniscience
02/14/1726,"austen, stephen",wotton reflections on learning
02/14/1726,"austen, stephen",wotton rights of the clergy
02/14/1726,"batley, jeremiah",barrow on contentment
02/14/1726,"batley, jeremiah",barrow works
02/14/1726,"batley, jeremiah",copies
02/14/1726,"batley, jeremiah",history of turks
02/14/1726,"batley, jeremiah",journey through france
02/14/1726,"bettesworth, arthur",mathesis enucleata
02/14/1726,"bettesworth, arthur",sherlock religious assemblies
02/14/1726,"birt, samuel",book of homilies
02/14/1726,"birt, samuel",cambray life
02/14/1726,"birt, samuel",catechumenorum ductor
02/14/1726,"birt, samuel",christian best guide
02/14/1726,"birt, samuel",complete sportsman
02/14/1726,"birt, samuel",conick sections
02/14/1726,"birt, samuel",copies
02/14/1726,"birt, samuel",country gentleman vade mecum
02/14/1726,"birt, samuel",cursus medicinae
02/14/1726,"birt, samuel",devout communicant
02/14/1726,"birt, samuel",history of the bible
02/14/1726,"birt, samuel",holy court
02/14/1726,"birt, samuel",saint cyprian works
02/14/1726,"birt, samuel",spelling harland
02/14/1726,"bowyer, jonas",hick devotions
02/14/1726,"brown, daniel i",history of the rebellion
02/14/1726,"brown, daniel i",law of nature
02/14/1726,"brown, daniel i",plato
02/14/1726,"brown, daniel i",present state of britain
02/14/1726,"brown, daniel i",puffendorf abridged
02/14/1726,"brown, daniel i",theatrum scotiae
02/14/1726,"brown, daniel i",trial of the duke of norfolk
02/14/1726,"brown, daniel i",turretin orations
02/14/1726,"brown, daniel i",vitruvius britannicus
02/14/1726,"brown, daniel ii",history of the rebellion
02/14/1726,"brown, daniel ii",plato
02/14/1726,"brown, daniel ii",present state of britain
02/14/1726,"brown, daniel ii",puffendorf abridged
02/14/1726,"brown, daniel ii",vitruvius britannicus
02/14/1726,"downing, joseph",advice to son
02/14/1726,"downing, joseph",andry on worms
02/14/1726,"downing, joseph",boethius
02/14/1726,"downing, joseph",bridle for the tongue
02/14/1726,"downing, joseph",buchanan correspondence
02/14/1726,"downing, joseph",copies
02/14/1726,"downing, joseph",fevers
02/14/1726,"downing, joseph",memoirs of scotland
02/14/1726,"downing, joseph",surgery
02/14/1726,"fayram, francis",harris lexicon technicum
02/14/1726,"fayram, francis",herbal
02/14/1726,"fayram, francis",use of maps and globes
02/14/1726,"fayram, francis",western islands of scotlands
02/14/1726,"innys, john",beveridge sermons
02/14/1726,"innys, john",beveridge thoughts
02/14/1726,"innys, john",blackall sermons
02/14/1726,"innys, john",boyle theological works
02/14/1726,"innys, john",christian thoughts
02/14/1726,"innys, john",divine breathings
02/14/1726,"innys, john",francis osborn works
02/14/1726,"innys, john",genealogical history
02/14/1726,"innys, john",hot liquors
02/14/1726,"innys, john",law of liberty and property
02/14/1726,"innys, john",lucas enquiry after happiness
02/14/1726,"innys, john",lucas practical christianity
02/14/1726,"innys, john",midwifery
02/14/1726,"innys, john",path to liberty
02/14/1726,"innys, john",peerage of england
02/14/1726,"innys, john",penitential discipline
02/14/1726,"innys, john",pietas londinensis
02/14/1726,"innys, john",pinkethman jests
02/14/1726,"innys, john",pitcairn works
02/14/1726,"innys, john",playhouse jests
02/14/1726,"innys, john",young clerk guide
02/14/1726,"innys, william",beveridge sermons
02/14/1726,"innys, william",beveridge thoughts
02/14/1726,"innys, william",blackall sermons
02/14/1726,"innys, william",boyle theological works
02/14/1726,"innys, william",christian thoughts
02/14/1726,"innys, william",divine breathings
02/14/1726,"innys, william",francis osborn works
02/14/1726,"innys, william",genealogical history
02/14/1726,"innys, william",hot liquors
02/14/1726,"innys, william",law of liberty and property
02/14/1726,"innys, william",lucas enquiry after happiness
02/14/1726,"innys, william",lucas practical christianity
02/14/1726,"innys, william",midwifery
02/14/1726,"innys, william",path to liberty
02/14/1726,"innys, william",peerage of england
02/14/1726,"innys, william",penitential discipline
02/14/1726,"innys, william",pietas londinensis
02/14/1726,"innys, william",pinkethman jests
02/14/1726,"innys, william",pitcairn works
02/14/1726,"innys, william",playhouse jests
02/14/1726,"innys, william",young clerk guide
02/14/1726,"knapton, james",athenian oracle
02/14/1726,"knapton, james",beveridge prayer
02/14/1726,"knapton, james",delphin ovid epistles
02/14/1726,"knapton, james",raphson de deo
02/14/1726,"knapton, james",revolutions in sweden
02/14/1726,"knapton, james",reynold murder
02/14/1726,"knapton, james",state trials
02/14/1726,"knapton, james",vertot revolutions of portugal
02/14/1726,"knapton, james",wake sermons
02/14/1726,"knapton, james",white of fevers
02/14/1726,"knapton, james",wilkins mathematical works
02/14/1726,"knapton, james",wise sermons
02/14/1726,"knapton, john",athenian oracle
02/14/1726,"knapton, john",beveridge prayer
02/14/1726,"knapton, john",delphin ovid epistles
02/14/1726,"knapton, john",raphson de deo
02/14/1726,"knapton, john",revolutions in sweden
02/14/1726,"knapton, john",reynold murder
02/14/1726,"knapton, john",state trials
02/14/1726,"knapton, john",vertot revolutions of portugal
02/14/1726,"knapton, john",wake sermons
02/14/1726,"knapton, john",white of fevers
02/14/1726,"knapton, john",wilkins mathematical works
02/14/1726,"knapton, john",wise sermons
02/14/1726,"longman, thomas i",beveridge thoughts
02/14/1726,"longman, thomas i",mathematical elements
02/14/1726,"longman, thomas i",quincy answer woodward
02/14/1726,"longman, thomas i",quincy lectures
02/14/1726,"longman, thomas i",sanctorius
02/14/1726,"mears, william",athenian oracle
02/14/1726,"mears, william",elements of physic
02/14/1726,"mears, william",life of mahomet
02/14/1726,"mears, william",meige state of great britain
02/14/1726,"mears, william",pomfret poems
02/14/1726,"mears, william",robinson crusoe
02/14/1726,"midwinter, daniel",beveridge articles
02/14/1726,"midwinter, edward",wit commonwealth
02/14/1726,"motte, benjamin",cambray of existence
02/14/1726,"motte, benjamin",castalio kempis
02/14/1726,"motte, benjamin",convenient prayer book
02/14/1726,"motte, benjamin",divine hymns
02/14/1726,"motte, benjamin",telemachus ozell
02/14/1726,"osborn, john (lombard)",adventures of theagenes and chariclea
02/14/1726,"osborn, john (lombard)",art of english poetry
02/14/1726,"osborn, john (lombard)",ashmole order of the garter
02/14/1726,"osborn, john (lombard)",athenian oracle
02/14/1726,"osborn, john (lombard)",king george annals
02/14/1726,"osborn, john (lombard)",letters of abelard and heloise
02/14/1726,"osborn, john (lombard)",leusden compendium
02/14/1726,"osborn, john (lombard)",lexicon
02/14/1726,"osborn, john (lombard)",state of russia
02/14/1726,"osborn, john (lombard)",suetonius
02/14/1726,"osborn, john i (hd and pnr)",boulton on witchcraft
02/14/1726,"osborn, john i (hd and pnr)",dictionary boyer french
02/14/1726,"osborn, john i (hd and pnr)",historia sacra
02/14/1726,"osborn, john i (hd and pnr)",history of scotland
02/14/1726,"osborn, john i (hd and pnr)",metamorphoses sewell
02/14/1726,"osborn, john i (hd and pnr)",new general and universal atlas
02/14/1726,"rivington, charles i",athenian oracle
02/14/1726,"rivington, charles i",diseases of tradesmen
02/14/1726,"rivington, charles i",nature and place of hell
02/14/1726,"rivington, charles i",raleigh abridgement and continuation
02/14/1726,"rivington, charles i",sick man visited
02/14/1726,"rivington, charles i",spinckes against hoadly
02/14/1726,"shuckburgh, john",british empire in america
02/14/1726,"shuckburgh, john",experiments on bezoar stones and sugar
02/14/1726,"shuckburgh, john",tremaine entries
02/14/1726,"ward, aaron",beveridge theological thesaurus
02/14/1726,"ward, aaron",dictionary ainsworth english & latin
02/14/1726,"ward, aaron",dispensatory
02/14/1726,"ward, aaron",history of the rebellion
02/14/1726,"ward, aaron",leighton creed
02/14/1726,"ward, aaron",life of sir leoline jenkins
02/14/1726,"ward, aaron",mainwaring life
02/14/1726,"ward, aaron",memoirs of church government
02/14/1726,"ward, aaron",memoirs of ireland
02/14/1726,"ward, aaron",memoirs of north britain
02/14/1726,"ward, aaron",memoirs of scotland
02/14/1726,"ward, aaron",memoirs of the church of scotland
02/14/1726,"ward, aaron",miscellanea antiqua
02/14/1726,"ward, aaron",moore sermons
02/14/1726,"ward, aaron",plato
02/14/1726,"ward, aaron",present state of britain
02/14/1726,"ward, aaron",puffendorf abridged
02/14/1726,"willford, john",dialling
02/14/1726,"willford, john",laud works
02/14/1726,"willford, john",treatise of foods
02/14/1726,"woodward, thomas",art of speaking
02/14/1726,"woodward, thomas",robinson crusoe
02/14/1726,"woodward, thomas",vitruvius britannicus
02/14/1726,"wotton, thomas",bibliotheca scriptorum
02/14/1726,"wotton, thomas",hill answer to the rights of the church
02/14/1726,"wotton, thomas",history of charles i
02/14/1726,"wotton, thomas",history of magic
02/14/1726,"wotton, thomas",history of the bastile
02/14/1726,"wotton, thomas",history of wars sweden
02/14/1726,"wotton, thomas",kettlewell christian
02/14/1726,"wotton, thomas",kettlewell works
02/14/1726,"wotton, thomas",key to dispensary
02/14/1726,"wotton, thomas",lady recreation in gardening
02/14/1726,"wotton, thomas",lex mercatoria
02/14/1726,"wotton, thomas",leybourn remains
02/14/1726,"wotton, thomas",life of queen anne
02/14/1726,"wotton, thomas",life of singleton
02/14/1726,"wotton, thomas",lists of offices and officers
02/14/1726,"wotton, thomas",three treatises
10/02/1726,"astley, thomas",christian priesthood
10/02/1726,"astley, thomas",divine right of episcopacy
10/02/1726,"astley, thomas",hick sermons
10/02/1726,"astley, thomas",spirit of enthusiasm
10/02/1726,"astley, thomas",stanhope sermon
10/02/1726,"astley, thomas",summary of divine truths
10/02/1726,"austen, stephen",lake sermons
10/02/1726,"birt, samuel",antidotum britanicum
10/02/1726,"birt, samuel",armours of edward iv
10/02/1726,"birt, samuel",devout christian manual
10/02/1726,"birt, samuel",gentleman jockey
10/02/1726,"birt, samuel",jenkins christian religion
10/02/1726,"birt, samuel",jenkins remarks
10/02/1726,"birt, samuel",oates' trial
10/02/1726,"birt, samuel",siege of barcelona
10/02/1726,"birt, samuel",spynge account of religion
10/02/1726,"birt, samuel",spynge answer to excuses
10/02/1726,"birt, samuel",spynge directions to spend day well
10/02/1726,"birt, samuel",spynge essay towards knowledge of religion
10/02/1726,"birt, samuel",spynge gentleman religion
10/02/1726,"birt, samuel",spynge method to attain salvation
10/02/1726,"birt, samuel",spynge religion tried
10/02/1726,"birt, samuel",spynge rule of self examination
10/02/1726,"birt, samuel",spynge sermon
10/02/1726,"birt, samuel",spynge true chruchman
10/02/1726,"birt, samuel",stanhope kempis
10/02/1726,"downing, joseph",answer to fontanell history of oracles
10/02/1726,"downing, joseph",dibben sermon
10/02/1726,"downing, joseph",dongworth sermon
10/02/1726,"downing, joseph",enquiry into the grounds of ecclesiastical synods
10/02/1726,"downing, joseph",gregory antidote
10/02/1726,"downing, joseph",gregory liberty of the press
10/02/1726,"downing, joseph",gregory providence
10/02/1726,"downing, joseph",gregory sermon
10/02/1726,"downing, joseph",method of study
10/02/1726,"downing, joseph",pro testimonio flavii josephi
10/02/1726,"downing, joseph",sin and folly of drunkenness
10/02/1726,"hooke, john",aesop lestrange
10/02/1726,"hooke, john",antonius
10/02/1726,"hooke, john",christian causist
10/02/1726,"hooke, john",josephus
10/02/1726,"hooke, john",landlord law
10/02/1726,"hooke, john",law of masters and servants
10/02/1726,"hooke, john",law of nature
10/02/1726,"hooke, john",modesty mistaken
10/02/1726,"hooke, john",pascal thoughts
10/02/1726,"hooke, john",pastoral instructions
10/02/1726,"hooke, john",turkish spy
10/02/1726,"knapton, james",aesop lestrange
10/02/1726,"knapton, james",coke reports
10/02/1726,"knapton, james",collier essays
10/02/1726,"knapton, james",ethics
10/02/1726,"knapton, james",jenkins christian religion
10/02/1726,"knapton, james",jenkins remarks
10/02/1726,"knapton, james",life of bishop ward appendix
10/02/1726,"knapton, james",quevedo visions
10/02/1726,"knapton, james",sallust
10/02/1726,"knapton, james",stanhope epictetus
10/02/1726,"knapton, james",stanhope epistles
10/02/1726,"knapton, james",stanhope parsons christian directory
10/02/1726,"knapton, james",thoughts on the study of the law in the university
10/02/1726,"knapton, james",wisdom of solomon explained
10/02/1726,"knapton, james",wood civil law
10/02/1726,"knapton, john",aesop lestrange
10/02/1726,"knapton, john",coke reports
10/02/1726,"knapton, john",collier essays
10/02/1726,"knapton, john",ethics
10/02/1726,"knapton, john",jenkins christian religion
10/02/1726,"knapton, john",jenkins remarks
10/02/1726,"knapton, john",life of bishop ward appendix
10/02/1726,"knapton, john",quevedo visions
10/02/1726,"knapton, john",sallust
10/02/1726,"knapton, john",stanhope epictetus
10/02/1726,"knapton, john",stanhope epistles
10/02/1726,"knapton, john",stanhope parsons christian directory
10/02/1726,"knapton, john",thoughts on the study of the law in the university
10/02/1726,"knapton, john",wisdom of solomon explained
10/02/1726,"knapton, john",wood civil law
10/02/1726,"lett, john",wilkins prayer and preaching
10/02/1726,"mears, william",aesop lestrange
10/02/1726,"mears, william",answer to essay for catholic communion
10/02/1726,"mears, william",answer to filmer
10/02/1726,"mears, william",coke reports
10/02/1726,"mears, william",collier first defence
10/02/1726,"mears, william",collier second defence
10/02/1726,"mears, william",collier view of the stage and defence
10/02/1726,"mears, william",death of queen anne
10/02/1726,"mears, william",husbandman paradise
10/02/1726,"mears, william",new pretenders to prophecy re-examined
10/02/1726,"mears, william",reeves redeeming time
10/02/1726,"mears, william",reeves sermon
10/02/1726,"mears, william",register of writs
10/02/1726,"mears, william",select sentences divine and humane
10/02/1726,"mears, william",spinoza revived
10/02/1726,"mears, william",stanhope epictetus
10/02/1726,"mears, william",stanhope roche faucault moral maxims
10/02/1726,"mears, william",stone readings on bankrupts
10/02/1726,"mears, william",stratagems of war
10/02/1726,"mears, william",the canon of the new testament vindicated
10/02/1726,"mears, william",truth and falsehood
10/02/1726,"osborn, john (lombard)",human prudence
10/02/1726,"osborn, john (lombard)",sallust
10/02/1726,"osborn, john i (hd and pnr)",bell sermon
10/02/1726,"osborn, john i (hd and pnr)",broughton sermon
10/02/1726,"osborn, john i (hd and pnr)",brown sermon
10/02/1726,"osborn, john i (hd and pnr)",clayton sermon
10/02/1726,"osborn, john i (hd and pnr)",dissertation locke
10/02/1726,"osborn, john i (hd and pnr)",hopkin sermons
10/02/1726,"osborn, john i (hd and pnr)",letters against anabaptists
10/02/1726,"osborn, john i (hd and pnr)",reflections on plays
10/02/1726,"osborn, john i (hd and pnr)",remarks on prince arthur
10/02/1726,"osborn, john i (hd and pnr)",trial of wits
10/02/1726,"osborn, john i (hd and pnr)",tusser redivivus
10/02/1726,"osborn, john i (hd and pnr)",virgil lauderdale
10/02/1726,"osborn, john i (hd and pnr)",wall queen accession
10/02/1726,"osborn, john i (hd and pnr)",wall sermon
10/02/1726,"osborn, john i (hd and pnr)",willes julian and gregorian account
10/02/1726,"osborn, john i (hd and pnr)",willes resignation
10/02/1726,"osborn, john i (hd and pnr)",willes sermon
10/02/1726,"osborne, thomas i",arcana clericalia
10/02/1726,"osborne, thomas i",dictionary boyer french
10/02/1726,"osborne, thomas i",law of estates taile
10/02/1726,"osborne, thomas i",modern reports
10/02/1726,"osborne, thomas i",stanhope epistles
10/02/1726,"osborne, thomas i",trial of ambrose rookwood
10/02/1726,"osborne, thomas i","trial of charnock, king, and keys"
10/02/1726,"osborne, thomas i",trial of lotwick knightly
10/02/1726,"osborne, thomas i",trial of sir rihcard graham
10/02/1726,"osborne, thomas i",trial of sir william parkins
10/02/1726,"osborne, thomas i",wentworth office of executors
10/02/1726,"osborne, thomas ii",arcana clericalia
10/02/1726,"osborne, thomas ii",dictionary boyer french
10/02/1726,"osborne, thomas ii",law of estates taile
10/02/1726,"osborne, thomas ii",modern reports
10/02/1726,"osborne, thomas ii",stanhope epistles
10/02/1726,"osborne, thomas ii",trial of ambrose rookwood
10/02/1726,"osborne, thomas ii","trial of charnock, king, and keys"
10/02/1726,"osborne, thomas ii",trial of lotwick knightly
10/02/1726,"osborne, thomas ii",trial of sir rihcard graham
10/02/1726,"osborne, thomas ii",trial of sir william parkins
10/02/1726,"osborne, thomas ii",wentworth office of executors
10/02/1726,"sanders, theodore",erasmus
10/02/1726,"stephens, joel",parson counsellor
